path,git_blob_id,sha256,bytes,lines,language,generated,generator,public_surface,security_critical,science_critical,authority_critical,reviewer,review_status,requirements,assumptions,defects,tests,evidence,disposition,completed_at
.github/CODEOWNERS,547d63bf801a01febe2271a128534409a8b23bf0,8735c32029b9ea033a8518dcbdf6517780197c3f8ac8ca9f6336b53fcfb194ad,63,2,UTF-8 text,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/handoff_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:547d63bf801a01febe2271a128534409a8b23bf0;sha256:8735c32029b9ea033a8518dcbdf6517780197c3f8ac8ca9f6336b53fcfb194ad,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/ISSUE_TEMPLATE/bug_report.yml,c583816f3fb84e0b8c145a48d7978eb205b36cea,48dedd0f160976fc94de94dbd75727c38a5e896dffbb3713650a6556f955c805,2341,78,YAML,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/repo_gap_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:c583816f3fb84e0b8c145a48d7978eb205b36cea;sha256:48dedd0f160976fc94de94dbd75727c38a5e896dffbb3713650a6556f955c805,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/ISSUE_TEMPLATE/config.yml,c40e6ba5ebd8c76ab2dc24c289f86462c3fd6a73,f4bfd12b9d36fa6c514e36d46accf070e40a6a2988410cbd62f3f77f366cae07,573,11,YAML,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/cross_repo_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:c40e6ba5ebd8c76ab2dc24c289f86462c3fd6a73;sha256:f4bfd12b9d36fa6c514e36d46accf070e40a6a2988410cbd62f3f77f366cae07,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/ISSUE_TEMPLATE/feature_request.yml,b0a2975e6dd0fedc86f6f5b9e9bf699db7914fec,8dacb520e27a194c66e973ffaa8f0871cb9e1444c246d631adf41c4ffbdcf9a0,1481,44,YAML,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/repo_gap_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:b0a2975e6dd0fedc86f6f5b9e9bf699db7914fec;sha256:8dacb520e27a194c66e973ffaa8f0871cb9e1444c246d631adf41c4ffbdcf9a0,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/PULL_REQUEST_TEMPLATE.md,de4e4b3110bf51135849c847f2ec5b2e0d0eb8cd,01fcee58478f52fdc40cfbfba26df6773ecc4f3b5455c02b71d08a1110ad254d,1571,33,Markdown,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/repo_gap_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:de4e4b3110bf51135849c847f2ec5b2e0d0eb8cd;sha256:01fcee58478f52fdc40cfbfba26df6773ecc4f3b5455c02b71d08a1110ad254d,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/dependabot.yml,7caa2f7cbf9afb4fdd1d3c0b282bd499378e4858,c822e7bd893609c9d3c02a3b69cf68bc786b063210b6a48a91be206f4d70e213,368,19,YAML,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/repo_gap_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:7caa2f7cbf9afb4fdd1d3c0b282bd499378e4858;sha256:c822e7bd893609c9d3c02a3b69cf68bc786b063210b6a48a91be206f4d70e213,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/workflows/ci.yml,03415576874663a562874bbb2e1a269c1033474a,7e566abb0a25658a5457ab7e2cf459030aa5ecfc7af6b44197b280f8724bc20a,16522,333,YAML,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/cross_repo_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:03415576874663a562874bbb2e1a269c1033474a;sha256:7e566abb0a25658a5457ab7e2cf459030aa5ecfc7af6b44197b280f8724bc20a,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.github/workflows/release.yml,0866ed26d1acc1f3aaef877be995b90131b1e7d8,5ca343ffa2f0ab254b04b12116a93a3e6a8d23d5bec971780b6763808bc53256,3329,74,YAML,NO,NOT_APPLICABLE,NO,YES,NO,NO,/root/handoff_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T115-T119;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:0866ed26d1acc1f3aaef877be995b90131b1e7d8;sha256:5ca343ffa2f0ab254b04b12116a93a3e6a8d23d5bec971780b6763808bc53256,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.gitignore,e5c5cb10546ed7f059df991b741e9bf9a215a413,280ce796e548cb4a2c338adac3f0df9be4c3b9ce02dc745d3dd9126943e6c8cd,614,42,UTF-8 text,NO,NOT_APPLICABLE,NO,NO,NO,NO,/root/cross_repo_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T010-T014;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:e5c5cb10546ed7f059df991b741e9bf9a215a413;sha256:280ce796e548cb4a2c338adac3f0df9be4c3b9ce02dc745d3dd9126943e6c8cd,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
.mailmap,8cf7cce8bef2e7876b2eb64f8ed78856fda29fbf,fd078d52e3691cdd20b37ea121e9571c3880efc248b2b77819793372bcf0ac84,292,4,UTF-8 text,NO,NOT_APPLICABLE,NO,NO,NO,NO,/root/repo_gap_audit,INTERNAL_AI_REVIEW_COMPLETE_WITH_OPEN_FINDINGS,T000-T009;T010-T014;T125-T145,"Mechanical classification only; reviewer confirms semantics, generator provenance, criticality, tests, and disposition.",See max-effort task review and retained lane findings; unresolved findings do not close this row.,scripts/check.sh,git:f08c2ad5f68bab0a583db918439660636996ca07:8cf7cce8bef2e7876b2eb64f8ed78856fda29fbf;sha256:fd078d52e3691cdd20b37ea121e9571c3880efc248b2b77819793372bcf0ac84,OPEN_PENDING_TASK_CLOSURE_AND_INDEPENDENT_REVIEW,2026-07-14T20:48:47Z
